23459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23485,10,30.4659257318604,12965,12965,-0.480985947813734,0.00261596999492755,5,28.9716068640796,5077,5077,-0.47328518943106,0.0288223784876493,0,0,0,0,0,0,0,0,0,0,0,0
23434,0,0,0,0,0,0,10,26.7412519919339,11720,11720,-0.166155283210662,0.00595616876401944,0,0,0,0,0,0,0,0,0,0,0,0
23336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23451,0,0,0,0,0,0,2,28.9446664250447,1062,1062,-0.111586729150822,4.45886717696708e-05,0,0,0,0,0,0,0,0,0,0,0,0
23351,2,29.3916501035224,1641,1641,-0.621727320639855,0.00105872951550161,2,29.058758810976,803,803,-0.932897306121215,0.0212651555137991,0,0,0,0,0,0,0,0,0,0,0,0
23446,10,26.8351617668103,7629,7629,-0.0631136728779813,0.000294371191623162,10,25.5728228709336,8416,8416,-0.137617337748076,0.000455570002997784,10,27.5550438598865,7470,48.5377677849811,-7067.64009777865,131336.343457626,10,26.4674333661517,8334,0.0874329794098469,-1.30713094902281,0.00265063715707808
23425,10,24.8943800628854,0,0,-2.97409560894114e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23349,10,28.2073065694437,18618,18618,-0.418989805620813,0.000436182089424058,5,27.3030999809731,6559,6559,-0.992482679836645,0.0326393602591652,2,29.1380525442808,2350,0.132929525063684,-7742.55366171832,2993073.84348892,2,29.1380525456095,2350,0.00981118490794483,-2.95004762982018,0.0688371854731092
23327,10,27.5554121618801,4949,4949,-0.00141815905924626,8.91588744261324e-07,8,27.2228061104912,5000,5000,-0.00202993597339275,2.54744357207966e-06,6,27.7624139819313,3187,0.99341008743842,-5111.08062877445,2434966.14780815,6,27.7624139821015,3187,0.0453469386499782,-0.631183548543705,0.084782890904803
23487,10,29.7004518164627,3236,3236,-0.354093229326667,0.000793775466632856,1,29.8931296254879,214,214,-0.437272899140735,0,1,29.893129626156,214,0.0427927362808431,-2881.56179812686,0,1,29.8931296271978,214,0.00781058669086734,-4.00916449570703,0
23387,10,29.573015623601,6307,6307,-0.262509798603326,0.000779218076668135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23403,10,30.7345858347115,4901,4901,-0.30427020060371,0.001046855702287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23373,10,29.8991239490199,15983,15983,-0.384581216740797,0.00167241525229072,4,27.0809865592666,7879,7879,-0.228195874670023,0.0134758609367079,2,28.5854545930764,5390,0.108188527875202,-12635.2161907236,20531256.8290165,2,28.5854545930366,5390,0.00880977832281599,-3.93343784118608,0.0221678132817648
23473,10,26.7610624220462,12693,12693,-0.0739898118231905,0.000404568665039877,10,26.4395417871333,10814,10814,-0.141272609901989,0.000527274440551681,10,27.3326349106793,13881,106.005326503498,-9560.91236457912,99659.8333107446,10,26.3883168894925,10978,0.086454685019903,-1.45528881096184,0.00264797946010361
23379,10,27.8993493284267,12252,12252,-0.448262113309238,0.000499257944520279,10,27.1603952274211,9590,9590,-0.658407922234287,0.042186540673411,6,27.8562813351487,6110,0.468462992667902,-9257.48409264625,181064.99255406,6,27.8562813377972,6110,0.0355792787661221,-3.44619825408645,0.035301014398286
23320,10,24.8943800810184,0,0,-1.71016868072934e-08,1.09476442525376e-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23310,10,27.3617584992632,10763,10763,-0.0549142394383097,0.0013368560196924,10,26.6525994130536,9513,9513,-0.190674489504042,0.0183893092245539,10,26.8227381830486,9542,7.18581089224571,-6829.84094018576,830865.281941597,10,26.7039906304742,9871,0.0584655717111326,-1.45101557902219,0.105031143807482
23411,10,29.7665764808068,11093,11093,-0.327927296936738,0.00121597072650895,1,29.6077043768926,649,649,-0.372860347732093,0,0,0,0,0,0,0,0,0,0,0,0,0
23348,10,27.2826807728764,5667,5667,-0.042357461787295,0.000795379778450462,6,27.2475545527935,3765,3765,-0.238083714033575,0.0466578623007924,6,27.2475545528778,3765,0.742876996945244,-6239.81617600295,5921788.46429012,6,27.2475545515985,3765,0.0305569454093709,-1.36487723671342,0.28448186748391
23322,10,27.7220853422775,29733,29733,-0.184717861591734,0.00779847630423739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23316,4,29.0773029288414,1708,1708,-0.179597549022293,0.00690837740148922,2,29.2892474670004,527,527,-0.147809717787581,0.00422474915515897,2,29.2892474670011,527,0.271579383125434,-3843.5539112108,1128891.97749937,2,29.2892474666981,527,0.0210418673463893,-1.26202309067103,0.0798619862583266
23416,10,30.9585214062192,2642,2642,-0.397322412154651,0.000999421190733584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23367,10,29.8379841886699,5843,5843,-0.301988584784606,0.00103121455715751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23396,0,0,0,0,0,0,1,30.6170763128601,628,628,-0.508271509531564,0,0,0,0,0,0,0,0,0,0,0,0,0
