23339,10,30.2094498449139,14212,14212,-2.81515661989214,0.0128456308356952,1,30.0800251620195,1107,1107,0.45062,0,0
23396,0,0,0,0,0,0,1,30.6154035791038,628,628,0.483051,0,0
23476,0,0,0,0,0,0,10,26.621343520988,11981,11981,0.4823531,0.00059878286829,0
23411,10,29.7565597606732,11556,11556,-2.46911307146241,0.0128456308356952,1,29.6060316082396,649,649,0.581726,0,0
23483,10,28.0063541638039,16716,16716,-2.43870173682385,0.00623945193196289,1,29.7347127872541,2196,2196,0.464163,0,1
23364,10,27.0736202406238,6292,6292,-1.23548046730702,0.110061777324772,6,27.2458817401825,3765,3765,0.565632166666667,0.00410354509913889,5
23422,10,27.950645146147,7300,7300,-2.82315195665728,0.0945328837431615,2,28.5381041183209,1621,1621,0.6793735,0.00448397640625,1
23409,0,0,0,0,0,0,2,28.9131933072008,234,234,0.5889595,0.01898208840025,0
23470,10,24.4918899004984,0,0,-0.0143511887456432,1.72122384926765e-09,10,28.0170284316029,10502,10502,0.4799714,0.00043370156024,0
23311,0,0,0,0,0,0,0,0,0,0,0,0,0
23466,10,26.9658634843439,17609,17609,-2.19334138708049,0.0297552077289033,10,26.9807608471247,15557,15557,0.4711648,0.00028413166716,1
23337,10,28.2733509737346,43701,43701,-2.53806900127069,0.0297552077289033,1,28.3714069571291,2451,2451,0.615146,0,0
23322,10,27.7140080412985,26141,26141,-2.04854002281593,0.0573608593734564,0,0,0,0,0,0,0
23406,0,0,0,0,0,0,10,26.6213435364267,11981,11981,0.4823531,0.00059878286829,0
23424,10,29.8250035734884,7264,7264,-2.63579955543032,0.0128456308356954,1,30.5556131277132,198,198,0.51502,0,0
23391,10,27.0734205170471,20901,20901,-1.61789050413411,0.0573608593734561,10,28.2873319084351,10069,10069,0.4632669,8.70308638899999e-05,1
23487,10,29.6762646620796,3155,3155,-2.40311546760586,0.0125277491959914,1,29.8914569572677,214,214,0.526707,0,0
23328,10,24.4918899078943,0,0,-0.0143511887456432,1.72122384926765e-09,10,28.0170284407861,10502,10502,0.4799714,0.00043370156024,0
23353,0,0,0,0,0,0,9,26.7776704783346,19362,19362,0.498452,0.00217789761977778,0
23441,0,0,0,0,0,0,10,26.6213435388267,11981,11981,0.4823531,0.00059878286829,0
23414,0,0,0,0,0,0,10,26.6213435376215,11981,11981,0.4823531,0.00059878286829,0
23340,10,26.8007876023693,11611,11611,-2.05983518636724,0.0297552077289023,4,27.794725092793,2685,2685,0.53895325,0.0024761119321875,2
23427,10,31.9542897775551,9034,9034,-2.58437350328724,0.00948223530390237,8,26.6279724613776,8424,8424,0.53897775,0.0031436670206875,0
23367,10,29.8780030265012,6422,6422,-2.37227801337748,0.0128456308356952,0,0,0,0,0,0,0
23433,10,29.0898361840962,10106,10106,-3.02895740737354,0.00733661048824697,5,27.6400479655941,4479,4479,0.4765956,0.00010960849264,0
23457,10,31.6428874419719,3090,3090,-0.925593214691441,2.92501322122236e-05,7,28.4418715048739,157,157,0.714352285714286,0.00815257049991837,0
23331,10,27.5537393769419,4949,4949,-1.03872339491634,0.156336825198413,8,27.2211333236331,5000,5000,0.54574975,0.0024575923246875,6
23359,10,30.0569620254195,13312,13312,-2.8079181095699,0.0128456308356952,1,29.6872713118146,877,877,0.494049,0,0
23371,10,26.9817308231471,22731,22731,-1.71844822086306,0.0573608593734569,10,28.3644986176403,9020,9020,0.4795159,0.00010898098129,2
23313,10,28.7278459890151,11017,11017,-2.62294564686909,0.0147075097446004,10,27.9052068172388,10645,10645,0.4583379,1.443570689e-05,0
23437,10,28.2184451277985,9717,9717,-2.61182974386451,0.112819861036522,6,27.9089274410083,4161,4161,0.4755755,0.00032476004725,1
23395,0,0,0,0,0,0,6,27.5608972589126,5464,5464,0.469357833333333,0.000188738865805556,0
23341,10,27.474433095021,25125,25125,-2.32822052856802,0.0573608593734561,10,28.0071533500123,48310,48310,0.45501,0,1
23438,10,29.6673331724444,8012,8012,-2.78806486569737,0.00345439393957604,4,28.0203507635155,1819,1819,0.517207,0.000549591286,0
23471,10,26.8101325526428,10353,10353,-2.0936125758855,0.0615639475542909,10,26.4414713846544,6551,6551,0.5707706,0.00342506316044,4
23398,10,29.5098604327331,2997,2997,-2.16747017912977,0.0125277491959914,0,0,0,0,0,0,0
23467,10,25.7946155176244,13283,13283,-2.68441415738984,0.0178906192570743,5,28.2443142006745,6138,6138,0.4911768,0.00181430266296,1
23413,0,0,0,0,0,0,0,0,0,0,0,0,0
23453,10,27.8019909263056,4651,4651,-2.03735565522295,0.0377892587405169,10,27.0597372651883,5214,5214,0.4772262,0.00023346464336,6
23356,10,30.1401319127141,6022,6022,-2.90781490643717,0.0128456308356952,0,0,0,0,0,0,0
23436,0,0,0,0,0,0,9,26.1335144221398,11320,11320,0.608148333333333,0.00490413300577778,0
23366,10,27.4259245211027,20844,20844,-1.5601977945227,0.00654821878410771,10,28.4742041170013,25808,25808,0.4780627,0.00067169458621,3
23415,10,29.238158446211,8833,8833,-2.5710648679986,0.0509912313486555,2,29.3474880216015,2198,2198,0.452155,4.23948100000002e-06,1
23443,10,26.9874015930613,13081,13081,-2.51248332487297,0.0575029660923993,6,27.3599045709092,6987,6987,0.551891666666667,0.00297983524455556,5
23408,10,29.7715913788635,5810,5810,-2.15972837905889,0.0128456308356956,0,0,0,0,0,0,0
23323,0,0,0,0,0,0,8,26.8253735277075,10404,10404,0.503841875,0.00178007287710938,0
23451,0,0,0,0,0,0,2,28.9429937293962,1062,1062,0.561217,0,0
