document_id	topic_id	weight
6	30	4e-06
6	31	2.9e-05
6	32	2.1e-05
6	33	2.6e-05
6	34	1.2e-05
6	35	1.4e-05
6	36	2.4e-05
6	37	1.8e-05
6	38	8e-06
6	39	8e-06
6	40	1e-05
6	41	4.9e-05
6	42	3.2e-05
6	43	1.6e-05
6	44	0.000142
6	45	1.4e-05
6	46	1e-05
6	47	9e-06
6	48	6e-06
6	49	2.2e-05
6	50	9e-06
6	51	7e-06
6	52	1.1e-05
6	53	7e-06
6	54	4e-06
6	55	1.8e-05
6	56	1.1e-05
6	57	1.1e-05
6	58	5.7e-05
6	59	7.3e-05
6	60	3e-05
6	61	1.2e-05
6	62	6.2e-05
6	63	9e-06
6	64	4.4e-05
6	65	0.018834
6	66	9.3e-05
6	67	7e-06
6	68	4.5e-05
6	69	1.6e-05
6	70	2.1e-05
6	71	1.8e-05
6	72	2.4e-05
6	73	1e-05
6	74	1.3e-05
6	75	2.3e-05
6	76	9e-06
6	77	1e-05
6	78	3e-06
6	79	1.3e-05
6	80	1.2e-05
6	81	5e-06
6	82	3.3e-05
6	83	8e-06
6	84	3e-06
6	85	5e-06
6	86	1.9e-05
6	87	1.4e-05
6	88	9e-06
6	89	9e-06
6	90	8e-06
6	91	2.6e-05
6	92	1.5e-05
6	93	1.8e-05
6	94	2.6e-05
6	95	0.573025
6	96	2.1e-05
6	97	1.8e-05
6	98	1e-05
6	99	1.3e-05
6	100	2e-05
7	1	1.1e-05
7	2	1.3e-05
7	3	1.9e-05
7	4	2.1e-05
7	5	5e-06
7	6	2e-06
7	7	8e-06
7	8	0.000256
7	9	0.000138
7	10	1e-05
7	11	1e-05
7	12	0.27257
7	13	1.6e-05
7	14	0.119968
7	15	2.1e-05
7	16	1.8e-05
7	17	3.1e-05
7	18	4e-06
7	19	2e-05
7	20	4.4e-05
7	21	5.1e-05
7	22	7e-06
7	23	0.000312
7	24	2.5e-05
7	25	2.4e-05
7	26	4.5e-05
7	27	3.5e-05
7	28	4e-06
7	29	4e-06
7	30	4e-06
7	31	2.9e-05
7	32	2.1e-05
7	33	2.6e-05
7	34	1.2e-05
7	35	1.4e-05
7	36	2.4e-05
7	37	1.8e-05
7	38	8e-06
7	39	8e-06
7	40	1e-05
7	41	4.9e-05
7	42	3.2e-05
7	43	1.6e-05
7	44	0.000143
7	45	1.4e-05
7	46	1e-05
7	47	9e-06
7	48	6e-06
7	49	2.2e-05
7	50	0.034277
7	51	7e-06
7	52	1.1e-05
7	53	7e-06
7	54	4e-06
7	55	1.8e-05
7	56	1.1e-05
7	57	1.1e-05
7	58	5.8e-05
7	59	7.3e-05
7	60	3e-05
7	61	1.2e-05
7	62	6.2e-05
7	63	9e-06
7	64	4.4e-05
7	65	1.8e-05
7	66	9.3e-05
7	67	7e-06
7	68	4.5e-05
7	69	1.6e-05
7	70	2.1e-05
7	71	1.8e-05
7	72	2.4e-05
7	73	1e-05
7	74	1.3e-05
7	75	2.4e-05
7	76	9e-06
7	77	1e-05
7	78	3e-06
7	79	1.3e-05
7	80	1.2e-05
7	81	5e-06
7	82	3.3e-05
7	83	8e-06
7	84	3e-06
7	85	5e-06
7	86	1.9e-05
7	87	1.4e-05
7	88	9e-06
7	89	9e-06
7	90	8e-06
7	91	2.6e-05
7	92	1.5e-05
7	93	1.8e-05
7	94	2.6e-05
7	95	0.57058
7	96	2.1e-05
7	97	1.8e-05
7	98	1e-05
7	99	1.3e-05
7	100	2e-05
8	1	7e-06
8	2	9e-06
8	3	1.3e-05
8	4	1.4e-05
8	5	3e-06
8	6	1e-06
8	7	6e-06
8	8	0.011538
8	9	0.014871
8	10	7e-06
8	11	7e-06
8	12	9e-05
8	13	1.1e-05
8	14	0.001156
8	15	1.4e-05
8	16	1.2e-05
8	17	0.020483
8	18	2e-06
8	19	0.047761
8	20	0.436578
8	21	0.002307
8	22	4e-06
8	23	0.102523
8	24	1.7e-05
8	25	1.6e-05
8	26	3e-05
8	27	2.3e-05
8	28	3e-06
8	29	2e-06
8	30	3e-06
8	31	1.9e-05
8	32	1.4e-05
8	33	1.7e-05
8	34	8e-06
8	35	9e-06
8	36	1.6e-05
8	37	1.2e-05
8	38	5e-06
8	39	5e-06
8	40	6e-06
8	41	0.018222
8	42	2.1e-05
8	43	1.1e-05
8	44	0.023968
8	45	9e-06
8	46	6e-06
8	47	6e-06
8	48	4e-06
8	49	1.4e-05
8	50	6e-06
8	51	4e-06
8	52	8e-06
8	53	4e-06
8	54	2e-06
8	55	1.2e-05
8	56	8e-06
8	57	8e-06
8	58	3.8e-05
8	59	0.01028
8	60	2e-05
8	61	0.01024
8	62	4.1e-05
8	63	6e-06
8	64	2.9e-05
8	65	1.2e-05
8	66	6.2e-05
8	67	4e-06
8	68	3e-05
8	69	1e-05
8	70	1.4e-05
8	71	1.2e-05
8	72	1.6e-05
8	73	6e-06
8	74	9e-06
8	75	1.6e-05
8	76	6e-06
8	77	6e-06
8	78	2e-06
8	79	9e-06
8	80	8e-06
8	81	3e-06
8	82	2.2e-05
8	83	0.013648
8	84	2e-06
8	85	3e-06
8	86	1.3e-05
8	87	9e-06
8	88	0.284218
8	89	6e-06
8	90	6e-06
8	91	0.001154
8	92	1e-05
8	93	1.2e-05
8	94	1.7e-05
8	95	7e-06
8	96	1.4e-05
8	97	1.2e-05
8	98	7e-06
8	99	9e-06
8	100	1.3e-05
9	1	1.5e-05
9	2	1.9e-05
9	3	2.8e-05
9	4	3e-05
9	5	7e-06
9	6	3e-06
9	7	1.2e-05
9	8	0.000362
9	9	0.000196
9	10	1.5e-05
9	11	1.5e-05
9	12	0.345165
9	13	2.3e-05
9	14	4.1e-05
9	15	3e-05
9	16	2.6e-05
9	17	4.3e-05
9	18	5e-06
9	19	2.9e-05
9	20	6.3e-05
9	21	7.2e-05
9	22	9e-06
9	23	0.000442
9	24	3.6e-05
9	25	3.5e-05
9	26	6.4e-05
9	27	4.9e-05
9	28	5e-06
9	29	5e-06
9	30	5e-06
9	31	4.1e-05
9	32	3e-05
9	33	3.6e-05
9	34	1.8e-05
9	35	2e-05
9	36	3.4e-05
9	37	2.6e-05
9	38	1.1e-05
9	39	1.1e-05
9	40	1.4e-05
9	41	6.9e-05
9	42	4.5e-05
9	43	2.3e-05
