document,0.300000,512704
document,0.310000,476470
document,0.320000,429211
document,0.330000,409878
document,0.340000,388870
document,0.350000,383301
document,0.360000,370082
document,0.370000,364738
document,0.380000,355411
document,0.390000,356710
document,0.400000,350241
document,0.410000,343662
document,0.420000,343299
document,0.430000,341070
document,0.440000,342627
document,0.450000,344474
document,0.460000,346805
document,0.470000,350967
document,0.480000,353697
document,0.490000,360383
document,0.500000,350688
document,0.510000,356192
document,0.520000,355697
document,0.530000,349599
document,0.540000,344658
document,0.550000,338655
document,0.560000,333096
document,0.570000,326832
document,0.580000,316452
document,0.590000,307727
document,0.600000,309087
document,0.610000,302839
document,0.620000,268446
document,0.630000,250207
document,0.640000,232944
document,0.650000,216108
document,0.660000,199333
document,0.670000,182279
document,0.680000,165794
document,0.690000,151780
document,0.700000,137188
document,0.710000,124373
document,0.720000,111182
document,0.730000,98900
document,0.740000,89551
document,0.750000,79773
document,0.760000,69875
document,0.770000,61041
document,0.780000,54427
document,0.790000,48329
document,0.800000,42226
document,0.810000,35501
document,0.820000,27400
document,0.830000,20695
document,0.840000,17096
document,0.850000,17004
document,0.860000,31887
document,0.870000,33080
document,0.880000,18849
document,0.890000,8171
document,0.900000,6097
document,0.910000,5308
document,0.920000,6971
document,0.930000,6059
document,0.940000,12846
document,0.950000,44257
document,0.960000,12177
document,0.970000,8882
document,0.980000,44898
document,0.990000,111008
topic,0.300000,4406
topic,0.310000,4215
topic,0.320000,3890
topic,0.330000,3457
topic,0.340000,3199
topic,0.350000,3079
topic,0.360000,2868
topic,0.370000,2647
topic,0.380000,2412
topic,0.390000,2321
topic,0.400000,2047
topic,0.410000,1773
topic,0.420000,1707
topic,0.430000,1866
topic,0.440000,2007
topic,0.450000,1391
topic,0.460000,1097
topic,0.470000,1137
topic,0.480000,1052
topic,0.490000,1108
topic,0.500000,1087
topic,0.510000,1047
topic,0.520000,1129
topic,0.530000,1137
topic,0.540000,1091
topic,0.550000,1137
topic,0.560000,1096
topic,0.570000,980
topic,0.580000,868
topic,0.590000,799
topic,0.600000,739
topic,0.610000,754
topic,0.620000,745
topic,0.630000,668
topic,0.640000,649
topic,0.650000,646
topic,0.660000,613
topic,0.670000,676
topic,0.680000,565
topic,0.690000,570
topic,0.700000,562
topic,0.710000,560
topic,0.720000,545
topic,0.730000,535
topic,0.740000,521
topic,0.750000,527
topic,0.760000,568
topic,0.770000,592
topic,0.780000,577
topic,0.790000,535
topic,0.800000,458
topic,0.810000,522
topic,0.820000,513
topic,0.830000,561
topic,0.840000,591
topic,0.850000,557
topic,0.860000,642
topic,0.870000,599
topic,0.880000,627
topic,0.890000,619
topic,0.900000,631
topic,0.910000,581
topic,0.920000,578
topic,0.930000,538
topic,0.940000,466
topic,0.950000,563
topic,0.960000,646
topic,0.970000,584
topic,0.980000,991
topic,0.990000,991
