40,LOCATION,0.240669
40,NAME,0.334620
40,ORGANIZATION,0.387387
14,LOCATION,0.093227
14,NAME,0.161690
14,ORGANIZATION,0.186453
69,NAME,0.302824
69,LOCATION,0.211295
69,ORGANIZATION,0.305745
59,LOCATION,0.238477
59,NAME,0.308617
59,ORGANIZATION,0.280561
49,LOCATION,0.287801
49,NAME,0.379109
49,ORGANIZATION,0.466764
24,LOCATION,0.349678
24,NAME,0.493554
24,ORGANIZATION,0.581492
53,NAME,0.360242
53,LOCATION,0.322906
53,ORGANIZATION,0.455096
79,NAME,0.229927
79,LOCATION,0.152068
79,ORGANIZATION,0.407543
22,LOCATION,0.268498
22,NAME,0.405245
22,ORGANIZATION,0.477365
42,LOCATION,0.136161
42,NAME,0.296875
42,ORGANIZATION,0.296875
46,LOCATION,0.172754
46,NAME,0.418551
46,ORGANIZATION,0.340290
23,LOCATION,0.244246
23,NAME,0.383632
23,ORGANIZATION,0.456522
13,NAME,0.428156
13,LOCATION,0.312762
13,ORGANIZATION,0.438519
96,LOCATION,0.160454
96,NAME,0.343598
96,ORGANIZATION,0.329011
6,LOCATION,0.256494
6,NAME,0.291775
6,ORGANIZATION,0.506061
85,NAME,0.367232
85,LOCATION,0.137853
85,ORGANIZATION,0.296045
3,LOCATION,0.176077
3,NAME,0.360766
3,ORGANIZATION,0.350239
36,LOCATION,0.180113
36,NAME,0.470919
36,ORGANIZATION,0.465291
94,LOCATION,0.206847
94,NAME,0.266405
94,ORGANIZATION,0.213267
9,LOCATION,0.272177
9,NAME,0.410954
9,ORGANIZATION,0.382056
51,LOCATION,0.338249
51,NAME,0.481633
51,ORGANIZATION,0.519552
47,LOCATION,0.155528
47,NAME,0.216505
47,ORGANIZATION,0.268382
8,LOCATION,0.438966
8,NAME,0.588495
8,ORGANIZATION,0.678793
38,NAME,0.385417
38,LOCATION,0.156250
38,ORGANIZATION,0.326389
98,NAME,0.391089
98,LOCATION,0.301485
98,ORGANIZATION,0.412871
4,LOCATION,0.389899
4,NAME,0.537019
4,ORGANIZATION,0.729482
34,LOCATION,0.108992
34,NAME,0.194823
34,ORGANIZATION,0.188011
37,LOCATION,0.203275
37,NAME,0.483907
37,ORGANIZATION,0.506494
43,NAME,0.189815
43,LOCATION,0.122685
43,ORGANIZATION,0.206019
5,NAME,0.284404
5,LOCATION,0.165138
5,ORGANIZATION,0.337156
